mineral,tipo,eslabon_ruptura,criterio_actores,criterio_espejo,criterio_ghosh_di,justificacion
cobre,B,L2->L3,"L1,L2,L3 con actores nacionales; L4 no atribuible","X_share_crudo 0.61->0.81; semis importador neto","forward 1.34 realizado como export de metal","Cadena hasta metal refinado; no profundiza a semis/manufactura (importadas); mineral sale como concentrado"
fluorita,A,L2->L3,"L1 + L2 (HF Koura clase mundial); L3-L4 ausentes","historicamente procesado; retroceso a crudo 2021-23 (0.83-0.93)","forward 1.31; DI local=cemento 82%, HF exporta","La mas integrada no metalica (HF); limite A/B: fluoropolimeros importados y HF como enclave de exportacion"
oro,B,L2->L4,"L1 disperso + L2 Penoles; L4 joyeria sin produccion","exporta metal refinado (proc 0.99); joyeria importada","DI 99.5% refinacion; forward 1.22 moderado","Se refina y exporta como metal/dore; joyeria importada; cadena se cierra en el lingote"
plata,B,L2->L4,"L1 disperso + L2 Penoles; L4 joyeria sin produccion","exporta plata refinada (proc 0.98); joyeria importada","DI 99% refinacion; forward 1.17","1o productor mundial; cadena se cierra en el metal refinado, no en la manufactura"
plomo,B,L1->L2,"L1,L2 Penoles,L4 baterias Clarios; L3 marginal","X_share_crudo 0.78->0.86 (exporta concentrado)","forward 0.71 (muy bajo); DI 79.5% no ferrosos","Refinacion y baterias existen pero desacopladas; primario sale como concentrado; baterias usan reciclado"
zinc,B,L1->L2,"L1,L2 IMMSA/Penoles; L3-L4 debiles","X_share_crudo 0.64->0.80; semis importador neto","forward 0.71 (bajo)","Refinacion nacional presente pero exporta concentrado e importa semis/galvanizado"
manganeso,A,L2->L3,"Autlan integra L1+L2 (ferroaleacion)","exporta procesado, no mena (crudo=0)","forward 1.54 (alto); insumo siderurgico","Cadena metalica desarrollada con capital nacional; exporta ferroaleacion; ruptura en la quimica fina de Mn"
grafito,C,L1->L2,"usuarios (acerias EAF) presentes; sin productor del insumo","importador neto de procesado/electrodos","forward 1.71 (alto), todo a siderurgia","Industria usuaria robusta pero grafito procesado y electrodos importados; mina decreciente"
silice,C,L1->L2,"usuarios (vidrio,cemento) presentes; sin productor de silicio","importador neto de silicio/ferrosilicio (M~264 MUSD)","forward 1.92 (el mas alto); vidrio+cemento","Cadena de bajo grado local (arena->vidrio/cemento) real; eslabon de silicio de alto valor importado"
barita,D,L1->L2,"solo extraccion/molienda + uso petrolero; sin quimica","exporta en bruto (crudo 100%)","forward 0.64 (muy bajo); insumo petrolero","Extraer y usar en bruto; sin transformacion quimica del bario en el pais"
